"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-03-06 00:00:00","405.000","221.000","1.400","12.600","1.000","975.100","","18.000","-99.000","-99.000","-99.000","14.300","","11.500",""
"C0X190","2020-03-06 00:00:00","10.000","17.000","3.500","17.000","0.760","1017.600","","0.500","-99.000","-99.000","-99.000","21.700","","15.200",""
"C0S950","2020-03-06 00:00:00","415.000","221.000","1.700","14.700","0.920","973.300","","0.000","-99.000","-99.000","-99.000","19.200","","14.400",""
"C0A880","2020-03-06 00:00:00","6.000","111.000","0.300","14.500","0.940","1020.300","","18.500","-99.000","-99.000","-99.000","15.300","","13.500",""
"C0I530","2020-03-06 00:00:00","3014.000","228.000","6.200","2.300","1.000","701.500","","-99.000","-99.000","-99.000","-99.000","5.000","","2.000",""
"C0M670","2020-03-06 00:00:00","43.000","1.000","1.800","15.800","0.790","1013.400","","5.000","-99.000","-99.000","-99.000","19.600","","14.500",""
"C0Z061","2020-03-06 00:00:00","174.000","0.000","0.000","15.900","0.990","1005.200","","1.000","-99.000","-99.000","-99.000","19.200","","15.000",""
"C0M730","2020-03-06 00:00:00","40.000","1.000","0.700","16.800","0.770","1013.500","","4.000","-99.000","-99.000","-99.000","20.900","","15.400",""
"C0U750","2020-03-06 00:00:00","398.000","33.000","2.300","12.200","1.000","974.700","","4.000","-99.000","-99.000","-99.000","12.300","","10.300",""
"C0A650","2020-03-06 00:00:00","287.000","35.000","1.900","12.200","0.990","988.600","","21.500","-99.000","-99.000","-99.000","12.600","","11.300",""
"C0K400","2020-03-06 00:00:00","65.000","7.000","0.900","15.700","0.890","1011.900","","4.500","-99.000","-99.000","-99.000","19.300","","14.100",""
"C0I370","2020-03-06 00:00:00","671.000","0.000","0.000","16.200","0.980","943.000","","12.000","-99.000","-99.000","-99.000","20.800","","15.300",""
"C0S750","2020-03-06 00:00:00","2280.000","0.000","0.000","5.700","1.000","776.100","","3.000","-99.000","-99.000","-99.000","11.100","","5.700",""
"C0R650","2020-03-06 00:00:00","29.000","6.000","1.000","19.200","0.930","1016.000","","0.000","-99.000","-99.000","-99.000","25.500","","17.800",""
"C0E740","2020-03-06 00:00:00","27.000","270.000","0.500","14.300","0.940","1010.400","","8.000","-99.000","-99.000","-99.000","17.600","","13.400",""
"C0AI20","2020-03-06 00:00:00","25.000","97.000","4.100","15.000","0.760","1018.900","","10.500","-99.000","-99.000","-99.000","15.700","","13.700",""
"C0E550","2020-03-06 00:00:00","84.000","0.000","0.200","13.300","0.940","1010.100","","9.500","-99.000","-99.000","-99.000","16.000","","12.600",""
"C0X060","2020-03-06 00:00:00","19.000","7.000","1.700","15.800","0.830","1018.400","","2.500","-99.000","-99.000","-99.000","22.000","","14.600",""
"C0R510","2020-03-06 00:00:00","31.000","321.000","1.100","19.200","0.770","1015.200","","0.000","-99.000","-99.000","-99.000","26.100","","17.900",""
"C0AC60","2020-03-06 00:00:00","55.000","77.000","4.400","15.100","0.960","1013.500","","15.500","11.500","93.000","","16.300","","13.400",""
"C0UA70","2020-03-06 00:00:00","547.000","62.000","5.600","11.300","0.990","959.300","","28.000","-99.000","-99.000","-99.000","11.300","","9.800",""
"C0F9N0","2020-03-06 00:00:00","75.000","0.000","0.000","17.500","0.760","1009.700","","6.500","-99.000","-99.000","-99.000","20.900","","15.600",""
"C0F9T0","2020-03-06 00:00:00","111.000","321.000","1.100","14.900","0.840","1004.900","","6.500","-99.000","-99.000","-99.000","17.700","","13.500",""
"C0S710","2020-03-06 00:00:00","382.000","7.000","2.200","13.800","0.930","978.300","","0.000","-99.000","-99.000","-99.000","17.800","","13.400",""
"C0M680","2020-03-06 00:00:00","37.000","346.000","1.000","16.000","0.830","1016.300","","3.500","-99.000","-99.000","-99.000","20.300","","14.500",""
"C0X220","2020-03-06 00:00:00","26.000","34.000","2.600","16.100","0.770","1015.700","","3.500","-99.000","-99.000","-99.000","19.900","","14.200",""
"C0R560","2020-03-06 00:00:00","22.000","321.000","2.700","19.000","0.750","1016.200","","0.000","-99.000","-99.000","-99.000","25.300","","17.500",""
"C0F9P0","2020-03-06 00:00:00","26.000","31.000","2.600","15.500","0.820","1016.700","","2.500","-99.000","-99.000","-99.000","17.700","","13.900",""
"C0O970","2020-03-06 00:00:00","71.000","311.000","0.900","16.500","0.850","1010.700","","0.500","-99.000","-99.000","-99.000","22.800","","15.100",""
"C0R700","2020-03-06 00:00:00","19.000","57.000","7.400","21.300","0.560","1016.400","","0.000","13.200","29.000","","24.500","","21.000",""
"C0R620","2020-03-06 00:00:00","34.000","36.000","5.200","20.700","0.820","1015.600","","0.000","12.700","33.000","","22.100","","19.800",""
"C0C660","2020-03-06 00:00:00","176.000","46.000","3.100","14.000","0.840","999.100","","11.000","-99.000","-99.000","-99.000","14.900","","12.200",""
"C0SA10","2020-03-06 00:00:00","411.000","76.000","0.600","14.700","0.890","974.400","","0.000","-99.000","-99.000","-99.000","22.800","","14.000",""
"C0M740","2020-03-06 00:00:00","15.000","14.000","0.900","15.900","0.810","1016.500","","4.500","-99.000","-99.000","-99.000","20.000","","14.300",""
"C0K460","2020-03-06 00:00:00","60.000","14.000","2.000","15.600","0.820","1010.900","","5.000","-99.000","-99.000","-99.000","19.000","","14.100",""
"C0X100","2020-03-06 00:00:00","10.000","354.000","3.200","17.200","0.740","1015.800","","0.500","-99.000","-99.000","-99.000","21.700","","15.600",""
"C0K560","2020-03-06 00:00:00","117.000","0.000","0.000","15.700","0.860","1005.800","","6.500","-99.000","-99.000","-99.000","19.000","","14.300",""
"C0R150","2020-03-06 00:00:00","105.000","247.000","0.300","18.100","0.990","1004.900","","0.500","-99.000","-99.000","-99.000","27.200","","17.000",""
"C0S690","2020-03-06 00:00:00","522.000","27.000","1.400","15.300","0.850","960.700","","0.000","-99.000","-99.000","-99.000","21.700","","14.800",""
"C0U870","2020-03-06 00:00:00","474.000","0.000","0.000","11.600","0.990","968.300","","18.000","-99.000","-99.000","-99.000","12.300","","10.800",""
"C0A520","2020-03-06 00:00:00","48.000","52.000","4.800","15.100","0.840","1015.200","","15.000","10.400","44.000","","15.500","","13.400",""
"C0X130","2020-03-06 00:00:00","27.000","354.000","1.300","17.200","0.810","1015.400","","0.500","-99.000","-99.000","-99.000","21.000","","15.900",""
"C0V400","2020-03-06 00:00:00","56.000","41.000","2.300","17.900","0.830","1011.600","","0.000","-99.000","-99.000","-99.000","22.800","","16.200",""
"C0UA40","2020-03-06 00:00:00","1121.000","0.000","0.200","9.000","0.990","895.000","","22.000","-99.000","-99.000","-99.000","9.100","","7.300",""
"C0G720","2020-03-06 00:00:00","50.000","357.000","1.000","15.500","0.810","1012.600","","3.000","-99.000","-99.000","-99.000","19.600","","14.000",""
"C0G890","2020-03-06 00:00:00","24.000","23.000","2.700","15.600","0.860","1015.700","","3.500","-99.000","-99.000","-99.000","17.800","","14.100",""
